id,text,retweet_count,reply_count,like_count
1465760655055720459,"World stocks and oil prices slid Tuesday after Moderna warned current vaccines might be less effective at fending off the Omicron variant, and eurozone inflation spiked to a record high. | https://t.co/xdGJs6z2yd | #VisionUpdates",2,0,1
1465760654229446662,Oh wow Upmc making folk get the vaccine now,0,0,0
1465760651490611204,"We conclude that the mRNA vacs dramatically increase inflammation on the endothelium and T cell infiltration of cardiac muscle and may account for the observations of increased thrombosis, cardiomyopathy, and other vascular events following vaccination. https://t.co/XSocriQQR5",0,0,0
1465760646717480960,"Omicron Unlikely to Cause Severe Illness in Vaccinated People, BioNTech Founder Says - WSJ https://t.co/PowoSnGZJE",0,0,0
1465760639939268609,"7 doctors who attended a Florida Anti-vax convention have come down with COVID!!  

Remember: if you are advised by a health care professionals not to mask/vax, ask for a prescription saying so-& if you later get sick, 
SUE FOR MALPRACTICE. https://t.co/S8qjS7cCYv",0,0,0
1465760623594201089,"$SPX was up 60 points yesterday and down 60 points today

What has changed?

Nothing, except $MRNA CEO spreading more fear to make more money for himself and his company

Moderna CEO says it will take months to clear a new Covid vaccine targeting omicron https://t.co/Z2Svldtmsz",0,0,0
1465760607307636736,"Omicron variant is unlikely to cause severe illness in vaccinated people, BioNTech says  #englishheadline #Omicron #variant #severe #illness #vaccinated #people #BioNTech https://t.co/HxVdpCokam",0,0,0
1465760599413968898,"Dow drops 350 points after Moderna CEO sounds fears over Omicron https://t.co/zsKYQJtnvj 
Bye Bye Biden you fool of fools... Too bad Americans have to suffer due to your political lies to get elected. Sad to see an American icon like Coke lose to WOKE Leaders",0,0,0
1465760594909446144,"#BioNTech CEO starts propaganda campaign to hide the fact the Vaccine can not protect people. 
3 doses in an its melts away like Turkish Delight on a hot summers day",0,0,0
1465760589314199552,"Does anyone have any info on how to get around vaccine mandates for University of New Haven? Asking for a 4 month pregnant friend who desperately does not want to get the jab, and is being threatened with firing, which will mean she and her husband and baby will be w/o health ins",0,0,0
1465760588349558797,"Moderna boss: Vaccines against Omikrom probably less effective

https://t.co/ZQ96ewq7GY",0,0,0
1465760575485624321,Advocating for Vaccine Equity https://t.co/dCAIexTtLg,0,0,0
1465760565356232705,"More evidence of criminal conspiracy to commit crimes against humanity, by hiding adverse events to vaccines.
https://t.co/KPk37Wy817 https://t.co/SUAAB5rGE6",0,0,0
1465760563435245568,Pfizer and BioNTech plan to apply for FDA authorization this week for a booster COVID-19 vaccine for 16- and 17-year-olds. https://t.co/BVZkO1xE3f,0,0,0
1465760555621249025,Pfizer CEO is 'very confident' the company's oral COVID-19 pill will be effective against the new variant https://t.co/eSZ4DDCVdk,0,0,0
1465760541457063937,"With children ages 5-11 now eligible to receive the COVID-19 vaccine, we know parents and caregivers have questions and concerns.  

Save the date and join our webinar to have your questions answered!

⏰ December 7 from 7 - 8 p.m.

🔗 Join the webinar at https://t.co/MuDSkVJUFg https://t.co/t4AV18c7LY",0,0,0
1465760534104576000,U.S. CDC says all adults should get COVID-19 vaccine boosters as Omicron fears grow https://t.co/7xFsbbv5W2,0,0,0
1465760531810332672,"Enough time has passed & I can admit it - I created COVID. 

I was auditing the financials of the Wuhan lab and I was in the breakroom for coffee and accidentally knocked over a test tube with my ass. I still support the vaccine cause I want Pelosi making everyone gay or whatever",1,0,3
1465760522066804736,"Loving all the social media fitness ‘influencers’ raging about the dangers of this vaccine when they’ve literally been hocking cheap, shitey supplements and powders to their fans for years, the side effects of which are fucking endless.",0,0,0
1465760520057896965,"#maine #mepolitics
European countries begin plans to fine unvaccinated.
Protests continue to grow and spread.
MSM doesn't deny tromethamine is added to child's vaccine. 

https://t.co/A6vl4M1awI",0,0,0
1465760490655830019,Moderna Warns of ‘Material Drop’ in Vaccine Efficacy Against Omicron - https://t.co/t2AEEMBii0 https://t.co/Dgrs3ILYaP,0,0,0
1465760486109163521,Moderna Warns of ‘Material Drop’ in Vaccine Efficacy Against Omicron - https://t.co/5912eEw2Ir https://t.co/AOHjjIRWkk,0,0,0
1465760482401390595,Father: Novak Djokovic ‘Probably Won‘t‘ Play Australian Open over Vaccine ‘Blackmail‘ https://t.co/AiaOFUKexS via @BreitbartNews,0,0,0
1465760467394207754,"Germany | Dr Thomas Jendges Head of Clinic, Commits Suicide ""COVID-19 Vaccine Is a Genocide"" https://t.co/oMEqyxQskj via @stessnews",0,0,0
1465760464911151106,I honestly have nothing against the vaccine but want to at least have 1 child before I vax since no one knows if there’s a possibility of it affecting “my” fertility.  #VaccineMandate #vaccine,0,0,0
1465760459739611147,Low-key hoping I test + for Covid because I feel fine other than a annoying cold-like symptoms (thanks vaccine! 😘) so I would just get to chill at home and binge Netflix for 10 days straight in quarantine 🤩,0,0,0
1465760455696306180,"LOCAL: “I can report to you that the incentive has actually resulted in some of our employees taking the initiative to go out and get vaccinated,” said City Manager Leigh Ann Henderson.

via @PCBJohnnyMac 

https://t.co/fa418MWCBN",0,0,0
1465760455666896903,"Increases in N.S. public sector workers reporting COVID-19 vaccine status ahead of Tuesday deadline
https://t.co/AvtmqdlGO0",0,0,0
1465760446892367873,Indiana coronavirus updates: Riley partnering with Children's Museum for vaccine clinic https://t.co/Uf7mH7wZ7e via @WTHRcom,0,0,0
1465760440940736517,"If a single glass of wine at the wrong time can cause birth defects, how can they possibly insist that a Covid Vaccine while pregnant is perfectly safe.  They don't even have any data.  They just insist.",0,0,1
1465760439430692864,And Trump gave Biden a vaccine https://t.co/K3xwP5DYaN,0,0,0
1465760439036481540,"Vaccine passport program could be coming soon to ‘15 or 20’ states, governor says - The Washington Times https://t.co/qQTvzq6gpO",0,0,0
1465760438998773763,3.5 billion people don't have access to #Covid19 vaccine. Wealthy countries are offering booster shots while some developing countries have up to 85% of people who have not yet received a First vaccine. Hoarding vaccines is Wrong. (Also #WearAMask ) via @PressTV  #Omicron https://t.co/8sSRTHzw5e,0,0,0
1465760426755444736,Continued mass vaccination will only push the evolutionary capacity of SARS-CoV-2 Spike protein beyond the Omicron version by @GVDBossche https://t.co/IYBEpSO9vh,0,0,1
1465760408950693903,High COVID-19 vaccination rates were expected to reduce transmission of SARS-CoV-2 in populations by reducing the number of possible sources for transmission and thereby to reduce the burden of COVID-19 disease. 1/2,0,1,0
1465760402940252166,I tried to schedule my booster and they’re trying to give me Pfizer when I initially had Moderna. I’m not doing no mix matching. Who tf has Moderna in stock!?,0,0,0
1465760387752628224,"Hooray! It's @GivingTuesday! We're celebrating by committing to raise $25,000 in just 24 hours. These funds will enable us to continue our COVID-19 Vaccination Pop-up Program, but we can only reach our goal with your help!
Donate here: https://t.co/PXPjEhN8Lz https://t.co/sFkbpI9faj",0,0,0
1465760381121531907,"As of: Tue Nov 30 12:05:52 2021

Appointments found at CVS locations in San Diego!

Schedule here:
https://t.co/2f80GMQQ8o",0,0,0
1465760378114088964,Pfizer COVID Vaccine Fails Risk-Benefit Analysis in Children 5 to 11 • Children's Health Defense https://t.co/ZhuQYNXsSd,0,0,0
1465760375840940036,"Good! 
New York is better for it-
‘Rather than get Covid vaccine, CNY basketball coach quits job, moves to Florida’ https://t.co/5cnrHMKMVo https://t.co/ODatn4KkKb",0,0,0
1465760374817529871,"The Ohio Department of Health reported 6,745 new COVID-19 cases, 461 new hospitalizations and 104 deaths on Tuesday https://t.co/v6hrKlTJMy #10TV",1,0,1
1465760374423269376,Bags of pills and a pacemaker in the future: A woman’s life post-Pfizer https://t.co/sHsgsAJenA,0,0,1
1465760368035340297,"One does not simply accept a covid vaccination

🤡 https://t.co/aFGtBokrV6",0,0,1
1465760367792041989,"Caregivers, having your child vaccinated against COVID-19 will protect family members and friends, especially those who may be at high risk, during the holiday season. Sign up at https://t.co/cPbgtOQlDL!
#LexDoThis #LexingtonKy https://t.co/GF9vsekJcH",0,0,0
1465760357427908624,Which reminds me my booster shot and flu vaccine appointment is booked ☝🏾,0,0,0
1465760355246911488,Moderna chief predicts existing vaccines will struggle with #Omicron https://t.co/mL61TQkyOb #moderna #covidvariant,0,0,0
1465760349265842183,"🇺🇸 U.S. #COVID19 Vaccinations

🗓️ 11/30/2021

🇺🇸 U.S. Population = 333,453,090

✅ 232,792,508 Americans got ONE Vaccine Dose

⬆️ 70.1%

✅ 196,806,194 Americans are FULLY #Vaccinated

⬆️ 59.3%

✅ 40.2 MILLION Americans got a Vaccine BOOSTER

🖥️ https://t.co/3WyokoT6Bm | @CDCgov https://t.co/tq4PJygw4o",0,0,0
1465760343993552899,The labor market weighs in on COVID-19 vaccine mandates: https://t.co/uv3Kib6tOr #VaccineMandate #Covid_19 #Labor @HarrisPoll @FastCompany https://t.co/lS75fiHLVo,0,0,0
1465760343024672768,Perhaps we should just add the covid vaccine to alcohol...,0,1,0
1465760333440720904,"I had to show my vaccination card at a restaurant. Taking the card out of my wallet, showing the card, putting the card back in my wallet… man, those were the longest 11 seconds of my life. I felt so violated. I can see why letting people get sick and die makes more sense.",3,0,6
1465760325718974466,"Global concerns grow over Omicron variant
COVID-19 vaccine 

Get the latest information from the CDC. 

https://t.co/6iQ1cxviVS",0,0,0
1465760325194502145,"DIS/MISINFORMATION: How U.S. social media conspiracy theories made Europeans sceptical of the Covid vaccine (Video)
@BrandyZadrozny reports on how people in Europe are sceptical of the #covid19vaccines -19 vaccine due to #conspiracytheories theories that were made in the U.S.",0,0,0
1465760313807101962,"How should we react to this?  Disbelief?!   Clueless!?  Conspiracy?? Incompetence?? Magical thinking?? “Vaccination centres will be ""popping up like Christmas trees"", says Boris Johnson.",0,0,0
1465760310652923904,"Vaccine kinda messing with my schedule 

But plans are

- Finishing the commissions i have queued up
- Work on the Lady D and her daughters  animation
- a rework of an old animation

Uploads might still be slow af though which is annoying for me since i used to upload on everyday",0,0,0
1465760308471943172,"Big Pharma evil.
Pfizer is lobbying to thwart whistleblowers from exposing corporate fraud https://t.co/NK4HUhKppo by @lhfang",0,0,0
1465760303401086984,"These people, with their warped logic, are risking lives. It’s time the state put their pleasure and pockets in peril https://t.co/MfjtAcUZD6",0,0,1
1465760291212259328,"The variant appears to have a high number of mutations — about 30 — in the coronavirus’ spike protein, which could affect how easily it spreads to people.
Vaccine efficacy for Omicron has likely dropped: Moderna CEO https://t.co/h4rX2qtdej via @nypost",0,0,0
