,so,pr,po,sn,eo,pn,en,sr,er
teach,0.0,0.0,0.0,0.0,0.0,2.1972245773362196,0.0,0.0,0.0
teacher,1.0986122886681098,0.0,2.1972245773362196,0.0,0.0,1.0986122886681098,0.0,0.0,0.0
team,0.0,0.0,4.394449154672439,0.0,0.0,0.0,0.0,0.0,0.0
technical,0.0,0.0,0.0,0.0,2.1972245773362196,0.0,0.0,0.0,0.0
technology,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.394449154672439,0.0
teen,0.0,0.0,0.0,2.1972245773362196,0.0,0.0,0.0,0.0,0.0
televangelist,0.0,0.0,0.0,0.0,0.0,2.1972245773362196,0.0,0.0,0.0
television,0.0,2.1972245773362196,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tell,1.6218604324326575,1.6218604324326575,2.027325540540822,1.6218604324326575,0.0,1.2163953243244932,0.0,0.4054651081081644,0.0
telling,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1972245773362196,0.0
tellle,0.0,0.0,2.1972245773362196,0.0,0.0,0.0,0.0,0.0,0.0
temp,0.0,0.0,2.1972245773362196,0.0,0.0,0.0,0.0,0.0,0.0
temporarily,0.0,0.0,1.5040773967762742,0.0,0.0,3.0081547935525483,0.0,0.0,0.0
term,0.8109302162163288,0.8109302162163288,0.0,0.0,0.0,1.6218604324326575,0.0,0.8109302162163288,0.0
terrible,0.0,0.0,0.0,0.0,0.0,2.1972245773362196,0.0,0.0,0.0
terror,0.0,2.1972245773362196,0.0,0.0,0.0,0.0,0.0,0.0,0.0
terrorism,0.0,0.0,0.0,0.0,0.0,2.1972245773362196,0.0,0.0,0.0
test,1.2565721414045308,1.2565721414045308,2.7644587110899677,4.021030852494499,0.25131442828090617,1.0052577131236247,0.0,1.2565721414045308,0.0
testandtrace,0.0,0.0,0.0,2.1972245773362196,0.0,0.0,0.0,0.0,0.0
testing,0.4054651081081644,0.4054651081081644,1.2163953243244932,0.8109302162163288,0.0,0.4054651081081644,0.0,0.4054651081081644,0.0
text,0.0,0.0,2.1972245773362196,0.0,0.0,0.0,0.0,0.0,0.0
thank,0.8109302162163288,2.4327906486489863,4.054651081081644,0.0,0.0,0.0,0.0,1.6218604324326575,0.0
theater,0.0,0.0,0.0,0.0,2.1972245773362196,0.0,0.0,0.0,0.0
thebundestag,0.0,0.0,0.0,0.0,0.0,2.1972245773362196,0.0,0.0,0.0
theirs,0.0,0.0,2.1972245773362196,0.0,0.0,0.0,0.0,0.0,0.0
theory,1.0986122886681098,1.0986122886681098,1.0986122886681098,0.0,0.0,0.0,0.0,0.0,0.0
therapeutic,1.5040773967762742,0.0,0.0,0.0,0.0,0.0,0.0,1.5040773967762742,0.0
therapeutics~,0.0,0.0,2.1972245773362196,0.0,0.0,0.0,0.0,0.0,0.0
therapist,2.1972245773362196,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
thereof,0.0,0.0,0.0,0.0,2.1972245773362196,0.0,0.0,0.0,0.0
thinking,0.0,2.1972245773362196,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tho,1.5040773967762742,0.0,1.5040773967762742,0.0,0.0,0.0,0.0,0.0,0.0
thousand,0.0,1.5040773967762742,0.0,0.0,0.0,0.0,1.5040773967762742,0.0,0.0
thread,2.1972245773362196,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
threat,0.0,1.0986122886681098,2.1972245773362196,0.0,0.0,3.295836866004329,0.0,0.0,0.0
threaten,0.0,0.0,3.0081547935525483,0.0,0.0,6.016309587105097,0.0,0.0,0.0
threshold,0.0,1.5040773967762742,1.5040773967762742,0.0,0.0,0.0,0.0,0.0,0.0
thrive,0.0,2.1972245773362196,0.0,0.0,0.0,0.0,0.0,0.0,0.0
throat,1.5040773967762742,0.0,1.5040773967762742,0.0,0.0,0.0,0.0,0.0,0.0
throw,0.0,0.0,2.1972245773362196,0.0,0.0,0.0,0.0,0.0,0.0
ticket,0.0,0.0,4.394449154672439,0.0,0.0,0.0,0.0,0.0,0.0
tie,0.0,2.1972245773362196,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tier,0.0,0.0,0.0,0.0,0.0,2.1972245773362196,0.0,0.0,0.0
timcast,0.0,0.0,0.0,0.0,0.0,2.1972245773362196,0.0,0.0,0.0
time,2.0105154262472493,1.2565721414045308,3.2670875676517803,0.25131442828090617,0.25131442828090617,1.7592009979663432,0.0,0.25131442828090617,0.0
timetable,0.0,0.0,0.0,0.0,0.0,2.1972245773362196,0.0,0.0,0.0
timing,0.0,2.1972245773362196,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tin,0.0,2.1972245773362196,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tip,1.0986122886681098,0.0,1.0986122886681098,1.0986122886681098,0.0,0.0,0.0,0.0,0.0
tired,0.0,0.0,2.1972245773362196,0.0,0.0,0.0,0.0,0.0,0.0
toddler,0.0,0.0,2.1972245773362196,0.0,0.0,0.0,0.0,0.0,0.0
tola,0.0,0.0,2.1972245773362196,0.0,0.0,0.0,0.0,0.0,0.0
tomorrow,3.0081547935525483,0.0,7.520386983881371,0.0,0.0,0.0,0.0,0.0,0.0
tonight,2.1972245773362196,1.0986122886681098,1.0986122886681098,0.0,0.0,0.0,0.0,0.0,0.0
tonight-,0.0,0.0,2.1972245773362196,0.0,0.0,0.0,0.0,0.0,0.0
tool,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1972245773362196,0.0
top,0.0,0.0,0.0,1.5040773967762742,0.0,1.5040773967762742,0.0,0.0,0.0
topsy,2.1972245773362196,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
torturing,0.0,0.0,2.1972245773362196,0.0,0.0,0.0,0.0,0.0,0.0
toss,0.0,0.0,2.1972245773362196,0.0,0.0,0.0,0.0,0.0,0.0
tough,0.0,0.0,2.1972245773362196,0.0,0.0,0.0,0.0,0.0,0.0
toughen,0.0,0.0,0.0,0.0,0.0,2.1972245773362196,0.0,0.0,0.0
tourist,0.0,0.0,0.0,0.0,0.0,0.0,2.1972245773362196,0.0,0.0
tout,0.0,0.0,0.0,0.0,0.0,2.1972245773362196,0.0,0.0,0.0
town,0.0,0.0,0.0,0.0,0.0,1.5040773967762742,0.0,1.5040773967762742,0.0
toxic,0.0,0.0,0.0,2.1972245773362196,0.0,0.0,0.0,0.0,0.0
tracing,0.0,0.0,1.5040773967762742,1.5040773967762742,0.0,0.0,0.0,0.0,0.0
tracking,0.0,0.0,4.394449154672439,0.0,0.0,0.0,0.0,0.0,0.0
traditional,0.0,2.1972245773362196,0.0,0.0,0.0,0.0,0.0,0.0,0.0
train,0.0,0.0,2.1972245773362196,0.0,0.0,0.0,0.0,0.0,0.0
training,2.1972245773362196,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
trait,0.0,0.0,2.1972245773362196,0.0,0.0,0.0,0.0,0.0,0.0
tranche,0.0,2.1972245773362196,0.0,0.0,0.0,0.0,0.0,0.0,0.0
transcript,0.0,2.1972245773362196,0.0,0.0,0.0,0.0,0.0,0.0,0.0
transmissibility,0.0,0.0,2.1972245773362196,0.0,0.0,0.0,0.0,0.0,0.0
transmissible,0.0,0.0,0.0,1.5040773967762742,0.0,3.0081547935525483,0.0,0.0,0.0
transmission,1.0986122886681098,0.0,0.0,3.295836866004329,0.0,1.0986122886681098,0.0,0.0,0.0
transmitter,0.0,0.0,0.0,2.1972245773362196,0.0,0.0,0.0,0.0,0.0
transparency,0.0,0.0,0.0,0.0,0.0,4.394449154672439,0.0,0.0,0.0
travel,0.8109302162163288,0.0,2.4327906486489863,4.865581297297973,0.0,0.0,0.0,4.054651081081644,0.0
traveler,0.0,1.6218604324326575,0.0,7.298371945946959,0.0,0.8109302162163288,0.0,0.8109302162163288,0.0
traveller,0.0,0.0,0.0,1.5040773967762742,0.0,1.5040773967762742,0.0,0.0,0.0
treason,0.0,1.5040773967762742,0.0,0.0,1.5040773967762742,0.0,0.0,0.0,0.0
treat,0.8109302162163288,0.0,0.8109302162163288,0.0,0.0,0.8109302162163288,0.0,0.8109302162163288,0.0
treatment,0.8109302162163288,0.0,0.0,1.6218604324326575,0.0,0.8109302162163288,0.0,0.8109302162163288,0.0
trial,0.0,0.0,1.5040773967762742,0.0,0.0,0.0,0.0,1.5040773967762742,0.0
trigger,0.0,0.0,2.1972245773362196,0.0,0.0,0.0,0.0,0.0,0.0
trip,0.0,0.0,0.0,0.0,0.0,2.1972245773362196,0.0,0.0,0.0
triple,3.0081547935525483,0.0,4.512232190328822,0.0,0.0,0.0,0.0,0.0,0.0
tripswaiver,0.0,0.0,2.1972245773362196,0.0,0.0,0.0,0.0,0.0,0.0
truck,0.0,0.0,0.0,0.0,2.1972245773362196,0.0,0.0,0.0,0.0
